@relation class
@attribute input1 { <=0.00,'(0.00; 15.00]','(15.00; 36.00]','(36.00; 54.00]','(54.00; 68.00]','(68.00; 96.00]','(96.00; 99.00]',>99.00 }
@attribute input2 { <=3.00,'(3.00; 43.00]','(43.00; 62.00]','(62.00; 74.00]','(74.00; 80.00]','(80.00; 88.00]','(88.00; 92.00]','(92.00; 99.00]',>99.00 }
@attribute input3 { <=12.00,'(12.00; 22.00]','(22.00; 34.00]','(34.00; 52.00]','(52.00; 67.00]','(67.00; 89.00]',>89.00 }
@attribute input4 { <=18.00,'(18.00; 28.00]','(28.00; 42.00]','(42.00; 49.00]','(49.00; 62.00]','(62.00; 69.00]','(69.00; 76.00]','(76.00; 87.00]','(87.00; 92.00]','(92.00; 99.00]',>99.00 }
@attribute input5 { <=1.00,'(1.00; 20.00]','(20.00; 34.00]','(34.00; 40.00]','(40.00; 51.00]','(51.00; 66.00]','(66.00; 80.00]','(80.00; 96.00]',>96.00 }
@attribute input6 { <=1.00,'(1.00; 21.00]','(21.00; 30.00]','(30.00; 37.00]','(37.00; 44.00]','(44.00; 47.00]','(47.00; 56.00]','(56.00; 63.00]','(63.00; 69.00]','(69.00; 74.00]','(74.00; 88.00]','(88.00; 99.00]',>99.00 }
@attribute input7 { <=4.00,'(4.00; 20.00]','(20.00; 24.00]','(24.00; 37.00]','(37.00; 49.00]','(49.00; 66.00]','(66.00; 87.00]','(87.00; 99.00]',>99.00 }
@attribute input8 { <=1.00,'(1.00; 13.00]','(13.00; 24.00]','(24.00; 31.00]','(31.00; 39.00]','(39.00; 44.00]','(44.00; 48.00]','(48.00; 53.00]','(53.00; 64.00]','(64.00; 77.00]','(77.00; 97.00]',>97.00 }
@attribute input9 { <=7.00,'(7.00; 19.00]','(19.00; 34.00]','(34.00; 49.00]','(49.00; 67.00]','(67.00; 79.00]','(79.00; 98.00]',>98.00 }
@attribute input10 { <=0.00,'(0.00; 7.00]','(7.00; 16.00]','(16.00; 26.00]','(26.00; 32.00]','(32.00; 38.00]','(38.00; 42.00]','(42.00; 51.00]','(51.00; 57.00]','(57.00; 63.00]','(63.00; 70.00]','(70.00; 73.00]','(73.00; 76.00]',>76.00 }
@attribute input11 { <=0.00,'(0.00; 20.00]','(20.00; 34.00]','(34.00; 45.00]','(45.00; 56.00]','(56.00; 72.00]','(72.00; 89.00]','(89.00; 99.00]',>99.00 }
@attribute input12 { <=0.00,'(0.00; 3.00]','(3.00; 10.00]','(10.00; 20.00]','(20.00; 27.00]','(27.00; 32.00]','(32.00; 39.00]','(39.00; 48.00]','(48.00; 52.00]','(52.00; 57.00]','(57.00; 68.00]','(68.00; 78.00]','(78.00; 98.00]',>98.00 }
@attribute input13 { <=17.00,'(17.00; 35.00]','(35.00; 48.00]','(48.00; 50.00]','(50.00; 57.00]','(57.00; 68.00]','(68.00; 78.00]','(78.00; 99.00]',>99.00 }
@attribute input14 { <=0.00,'(0.00; 5.00]','(5.00; 13.00]','(13.00; 15.00]','(15.00; 21.00]','(21.00; 26.00]','(26.00; 35.00]','(35.00; 43.00]','(43.00; 50.00]','(50.00; 59.00]','(59.00; 70.00]','(70.00; 82.00]','(82.00; 99.00]',>99.00 }
@attribute input15 { <=0.00,'(0.00; 22.00]','(22.00; 46.00]','(46.00; 82.00]','(82.00; 99.00]',>99.00 }
@attribute input16 { <=0.00,'(0.00; 6.00]','(6.00; 10.00]','(10.00; 17.00]','(17.00; 23.00]','(23.00; 31.00]','(31.00; 50.00]','(50.00; 59.00]','(59.00; 69.00]','(69.00; 80.00]','(80.00; 93.00]','(93.00; 98.00]',>98.00 }
@attribute class { 0,1,2,3,4,5,6,7,8,9 }
@data
'(96.00; 99.00]','(92.00; 99.00]','(22.00; 34.00]','(76.00; 87.00]',>96.00,'(74.00; 88.00]','(66.00; 87.00]',>97.00,<=7.00,>76.00,'(72.00; 89.00]','(57.00; 68.00]','(35.00; 48.00]','(26.00; 35.00]','(0.00; 22.00]',<=0.00,9
>99.00,'(92.00; 99.00]','(52.00; 67.00]','(76.00; 87.00]',<=1.00,'(69.00; 74.00]','(24.00; 37.00]',>97.00,'(79.00; 98.00]',>76.00,'(56.00; 72.00]','(57.00; 68.00]','(35.00; 48.00]','(26.00; 35.00]','(22.00; 46.00]',<=0.00,9
'(36.00; 54.00]',>99.00,<=12.00,'(76.00; 87.00]',<=1.00,'(56.00; 63.00]','(49.00; 66.00]','(53.00; 64.00]',>98.00,>76.00,'(72.00; 89.00]','(52.00; 57.00]','(50.00; 57.00]','(21.00; 26.00]','(22.00; 46.00]',<=0.00,4
<=0.00,<=3.00,'(22.00; 34.00]',<=18.00,'(51.00; 66.00]','(30.00; 37.00]','(87.00; 99.00]','(53.00; 64.00]',>98.00,>76.00,'(56.00; 72.00]',>98.00,'(17.00; 35.00]','(70.00; 82.00]','(46.00; 82.00]','(59.00; 69.00]',9
<=0.00,>99.00,'(52.00; 67.00]','(92.00; 99.00]','(80.00; 96.00]','(74.00; 88.00]','(49.00; 66.00]','(39.00; 44.00]','(34.00; 49.00]',<=0.00,'(0.00; 20.00]','(20.00; 27.00]','(17.00; 35.00]','(43.00; 50.00]',>99.00,'(31.00; 50.00]',7
'(36.00; 54.00]','(80.00; 88.00]',<=12.00,'(69.00; 76.00]',<=1.00,'(21.00; 30.00]','(37.00; 49.00]',<=1.00,'(79.00; 98.00]','(16.00; 26.00]',>99.00,'(57.00; 68.00]','(68.00; 78.00]',>99.00,'(22.00; 46.00]','(69.00; 80.00]',0
'(36.00; 54.00]',>99.00,'(12.00; 22.00]','(76.00; 87.00]',<=1.00,'(47.00; 56.00]','(37.00; 49.00]','(31.00; 39.00]',>98.00,'(38.00; 42.00]',>99.00,'(57.00; 68.00]','(78.00; 99.00]','(26.00; 35.00]','(82.00; 99.00]',<=0.00,4
<=0.00,'(80.00; 88.00]','(34.00; 52.00]','(76.00; 87.00]','(80.00; 96.00]',>99.00,>99.00,'(77.00; 97.00]','(79.00; 98.00]','(63.00; 70.00]','(56.00; 72.00]','(39.00; 48.00]','(57.00; 68.00]','(15.00; 21.00]','(46.00; 82.00]',<=0.00,1
'(54.00; 68.00]',>99.00,'(12.00; 22.00]','(76.00; 87.00]',<=1.00,'(44.00; 47.00]','(4.00; 20.00]','(1.00; 13.00]','(49.00; 67.00]',<=0.00,>99.00,'(20.00; 27.00]','(35.00; 48.00]','(35.00; 43.00]','(0.00; 22.00]','(10.00; 17.00]',6
>99.00,>99.00,'(52.00; 67.00]','(87.00; 92.00]','(1.00; 20.00]','(56.00; 63.00]',<=4.00,'(24.00; 31.00]','(19.00; 34.00]',<=0.00,'(89.00; 99.00]','(10.00; 20.00]','(57.00; 68.00]','(35.00; 43.00]',<=0.00,'(17.00; 23.00]',6
'(15.00; 36.00]',>99.00,<=12.00,'(69.00; 76.00]',<=1.00,'(37.00; 44.00]','(4.00; 20.00]','(1.00; 13.00]','(49.00; 67.00]',<=0.00,>99.00,'(20.00; 27.00]','(57.00; 68.00]','(35.00; 43.00]','(0.00; 22.00]','(31.00; 50.00]',6
'(54.00; 68.00]',>99.00,'(12.00; 22.00]','(87.00; 92.00]',<=1.00,'(47.00; 56.00]','(4.00; 20.00]','(1.00; 13.00]','(49.00; 67.00]',<=0.00,'(89.00; 99.00]','(27.00; 32.00]',>99.00,'(70.00; 82.00]','(46.00; 82.00]','(93.00; 98.00]',0
'(36.00; 54.00]','(80.00; 88.00]',>89.00,>99.00,'(80.00; 96.00]','(88.00; 99.00]','(37.00; 49.00]','(64.00; 77.00]','(49.00; 67.00]','(42.00; 51.00]','(89.00; 99.00]','(32.00; 39.00]','(57.00; 68.00]','(0.00; 5.00]',<=0.00,<=0.00,5
'(36.00; 54.00]',>99.00,<=12.00,'(87.00; 92.00]','(66.00; 80.00]','(44.00; 47.00]','(66.00; 87.00]',<=1.00,'(7.00; 19.00]','(7.00; 16.00]','(72.00; 89.00]','(52.00; 57.00]',>99.00,'(82.00; 99.00]','(0.00; 22.00]','(69.00; 80.00]',8
'(54.00; 68.00]','(80.00; 88.00]',>89.00,>99.00,'(80.00; 96.00]','(69.00; 74.00]','(49.00; 66.00]','(53.00; 64.00]',>98.00,'(38.00; 42.00]','(72.00; 89.00]','(10.00; 20.00]','(35.00; 48.00]',<=0.00,<=0.00,'(10.00; 17.00]',3
'(15.00; 36.00]','(74.00; 80.00]','(22.00; 34.00]','(62.00; 69.00]','(66.00; 80.00]','(30.00; 37.00]','(49.00; 66.00]',<=1.00,'(7.00; 19.00]','(16.00; 26.00]',<=0.00,'(57.00; 68.00]','(17.00; 35.00]','(82.00; 99.00]',>99.00,>98.00,5
'(68.00; 96.00]',>99.00,'(34.00; 52.00]','(49.00; 62.00]',>96.00,'(63.00; 69.00]','(49.00; 66.00]','(77.00; 97.00]','(79.00; 98.00]','(63.00; 70.00]','(89.00; 99.00]','(48.00; 52.00]','(57.00; 68.00]',<=0.00,<=0.00,'(0.00; 6.00]',9
'(36.00; 54.00]','(80.00; 88.00]','(67.00; 89.00]',>99.00,>96.00,'(74.00; 88.00]','(66.00; 87.00]','(53.00; 64.00]','(19.00; 34.00]','(32.00; 38.00]',<=0.00,'(10.00; 20.00]','(35.00; 48.00]',<=0.00,>99.00,'(0.00; 6.00]',2
'(36.00; 54.00]','(80.00; 88.00]','(52.00; 67.00]',>99.00,'(80.00; 96.00]','(69.00; 74.00]','(49.00; 66.00]','(44.00; 48.00]','(19.00; 34.00]','(16.00; 26.00]',<=0.00,<=0.00,'(48.00; 50.00]','(0.00; 5.00]',>99.00,'(0.00; 6.00]',2
<=0.00,'(74.00; 80.00]','(22.00; 34.00]',>99.00,'(40.00; 51.00]','(74.00; 88.00]','(37.00; 49.00]','(53.00; 64.00]','(79.00; 98.00]','(51.00; 57.00]',>99.00,'(27.00; 32.00]','(57.00; 68.00]','(5.00; 13.00]','(0.00; 22.00]',<=0.00,3
'(0.00; 15.00]','(62.00; 74.00]','(22.00; 34.00]',>99.00,'(51.00; 66.00]','(88.00; 99.00]','(37.00; 49.00]','(48.00; 53.00]','(7.00; 19.00]','(16.00; 26.00]',<=0.00,'(3.00; 10.00]','(48.00; 50.00]','(0.00; 5.00]',>99.00,<=0.00,2
'(15.00; 36.00]','(92.00; 99.00]','(52.00; 67.00]',>99.00,'(66.00; 80.00]','(69.00; 74.00]','(66.00; 87.00]','(53.00; 64.00]',>98.00,'(26.00; 32.00]','(72.00; 89.00]','(3.00; 10.00]','(35.00; 48.00]',<=0.00,<=0.00,'(0.00; 6.00]',3
'(68.00; 96.00]',>99.00,<=12.00,'(87.00; 92.00]',<=1.00,'(47.00; 56.00]','(49.00; 66.00]','(53.00; 64.00]',>98.00,'(70.00; 73.00]','(89.00; 99.00]','(27.00; 32.00]','(57.00; 68.00]',<=0.00,'(0.00; 22.00]','(0.00; 6.00]',9
'(36.00; 54.00]',>99.00,'(34.00; 52.00]','(87.00; 92.00]',<=1.00,'(56.00; 63.00]',<=4.00,'(48.00; 53.00]','(79.00; 98.00]','(38.00; 42.00]',>99.00,'(52.00; 57.00]','(57.00; 68.00]','(26.00; 35.00]','(22.00; 46.00]',<=0.00,4
'(36.00; 54.00]','(62.00; 74.00]','(67.00; 89.00]','(28.00; 42.00]','(66.00; 80.00]',<=1.00,'(4.00; 20.00]','(1.00; 13.00]','(49.00; 67.00]','(38.00; 42.00]',>99.00,'(68.00; 78.00]','(50.00; 57.00]',>99.00,<=0.00,'(69.00; 80.00]',8
>99.00,'(80.00; 88.00]','(67.00; 89.00]',>99.00,'(51.00; 66.00]','(69.00; 74.00]','(87.00; 99.00]','(77.00; 97.00]','(67.00; 79.00]','(63.00; 70.00]','(56.00; 72.00]','(20.00; 27.00]','(35.00; 48.00]',<=0.00,<=0.00,'(0.00; 6.00]',9
'(36.00; 54.00]',>99.00,'(12.00; 22.00]','(69.00; 76.00]',<=1.00,'(44.00; 47.00]','(4.00; 20.00]','(13.00; 24.00]','(49.00; 67.00]','(16.00; 26.00]',>99.00,'(32.00; 39.00]','(50.00; 57.00]','(21.00; 26.00]','(0.00; 22.00]',<=0.00,6
<=0.00,'(80.00; 88.00]','(34.00; 52.00]',>99.00,>96.00,'(88.00; 99.00]','(66.00; 87.00]','(48.00; 53.00]','(49.00; 67.00]','(7.00; 16.00]','(34.00; 45.00]',<=0.00,'(17.00; 35.00]','(26.00; 35.00]','(46.00; 82.00]','(31.00; 50.00]',7
<=0.00,>99.00,'(12.00; 22.00]','(87.00; 92.00]','(66.00; 80.00]','(88.00; 99.00]',>99.00,'(77.00; 97.00]','(49.00; 67.00]','(63.00; 70.00]','(34.00; 45.00]','(39.00; 48.00]','(17.00; 35.00]','(15.00; 21.00]','(0.00; 22.00]',<=0.00,7
<=0.00,'(62.00; 74.00]','(22.00; 34.00]',>99.00,'(20.00; 34.00]','(74.00; 88.00]','(24.00; 37.00]','(39.00; 44.00]','(7.00; 19.00]',<=0.00,'(0.00; 20.00]',<=0.00,'(48.00; 50.00]','(0.00; 5.00]',>99.00,'(0.00; 6.00]',1
<=0.00,'(80.00; 88.00]',<=12.00,>99.00,'(34.00; 40.00]','(74.00; 88.00]','(24.00; 37.00]','(53.00; 64.00]','(7.00; 19.00]','(16.00; 26.00]','(0.00; 20.00]','(3.00; 10.00]','(57.00; 68.00]','(0.00; 5.00]',>99.00,<=0.00,2
'(36.00; 54.00]','(74.00; 80.00]','(34.00; 52.00]',>99.00,'(20.00; 34.00]','(69.00; 74.00]','(37.00; 49.00]','(31.00; 39.00]','(34.00; 49.00]',<=0.00,<=0.00,'(10.00; 20.00]','(35.00; 48.00]','(43.00; 50.00]',>99.00,'(59.00; 69.00]',8
<=0.00,'(74.00; 80.00]','(22.00; 34.00]',>99.00,'(80.00; 96.00]','(88.00; 99.00]','(66.00; 87.00]','(64.00; 77.00]','(34.00; 49.00]','(32.00; 38.00]','(0.00; 20.00]','(3.00; 10.00]','(35.00; 48.00]','(0.00; 5.00]',>99.00,<=0.00,2
>99.00,'(88.00; 92.00]','(52.00; 67.00]',>99.00,'(40.00; 51.00]','(63.00; 69.00]','(66.00; 87.00]','(64.00; 77.00]','(79.00; 98.00]','(57.00; 63.00]','(72.00; 89.00]','(20.00; 27.00]','(50.00; 57.00]',<=0.00,<=0.00,'(6.00; 10.00]',9
<=0.00,'(43.00; 62.00]','(22.00; 34.00]','(62.00; 69.00]','(66.00; 80.00]','(74.00; 88.00]',>99.00,>97.00,'(67.00; 79.00]','(73.00; 76.00]','(45.00; 56.00]','(48.00; 52.00]','(35.00; 48.00]','(21.00; 26.00]','(22.00; 46.00]',<=0.00,1
'(15.00; 36.00]','(62.00; 74.00]',<=12.00,'(18.00; 28.00]','(40.00; 51.00]',<=1.00,'(66.00; 87.00]','(13.00; 24.00]',>98.00,'(63.00; 70.00]','(72.00; 89.00]',>98.00,'(17.00; 35.00]','(82.00; 99.00]',<=0.00,'(50.00; 59.00]',0
<=0.00,'(74.00; 80.00]','(52.00; 67.00]',>99.00,>96.00,'(74.00; 88.00]','(66.00; 87.00]','(44.00; 48.00]','(34.00; 49.00]','(7.00; 16.00]','(0.00; 20.00]',<=0.00,'(17.00; 35.00]','(26.00; 35.00]','(82.00; 99.00]','(31.00; 50.00]',7
'(15.00; 36.00]','(80.00; 88.00]','(52.00; 67.00]',>99.00,'(51.00; 66.00]','(69.00; 74.00]','(24.00; 37.00]','(39.00; 44.00]',<=7.00,'(16.00; 26.00]','(0.00; 20.00]',<=0.00,'(50.00; 57.00]','(0.00; 5.00]',>99.00,'(0.00; 6.00]',2
'(68.00; 96.00]','(88.00; 92.00]',<=12.00,>99.00,'(20.00; 34.00]','(56.00; 63.00]','(66.00; 87.00]','(24.00; 31.00]','(49.00; 67.00]',<=0.00,'(0.00; 20.00]','(27.00; 32.00]','(50.00; 57.00]','(59.00; 70.00]',>99.00,'(93.00; 98.00]',8
<=0.00,'(74.00; 80.00]','(12.00; 22.00]',>99.00,'(40.00; 51.00]','(69.00; 74.00]','(37.00; 49.00]','(31.00; 39.00]','(7.00; 19.00]','(7.00; 16.00]','(20.00; 34.00]','(10.00; 20.00]','(57.00; 68.00]',<=0.00,>99.00,'(17.00; 23.00]',2
'(15.00; 36.00]',>99.00,'(12.00; 22.00]','(69.00; 76.00]',<=1.00,'(37.00; 44.00]',<=4.00,'(13.00; 24.00]','(67.00; 79.00]','(16.00; 26.00]',>99.00,'(39.00; 48.00]','(78.00; 99.00]','(26.00; 35.00]','(82.00; 99.00]',<=0.00,4
<=0.00,'(74.00; 80.00]','(34.00; 52.00]',>99.00,'(66.00; 80.00]','(74.00; 88.00]','(37.00; 49.00]','(53.00; 64.00]','(79.00; 98.00]','(42.00; 51.00]',>99.00,'(10.00; 20.00]','(50.00; 57.00]',<=0.00,'(0.00; 22.00]',<=0.00,3
'(15.00; 36.00]','(43.00; 62.00]','(34.00; 52.00]','(76.00; 87.00]',>96.00,>99.00,'(87.00; 99.00]','(77.00; 97.00]','(49.00; 67.00]','(63.00; 70.00]','(20.00; 34.00]','(39.00; 48.00]',<=17.00,'(21.00; 26.00]',<=0.00,<=0.00,1
<=0.00,'(88.00; 92.00]','(52.00; 67.00]',>99.00,'(80.00; 96.00]','(69.00; 74.00]','(49.00; 66.00]','(31.00; 39.00]','(7.00; 19.00]',<=0.00,'(0.00; 20.00]','(20.00; 27.00]','(17.00; 35.00]','(43.00; 50.00]',>99.00,'(31.00; 50.00]',7
'(15.00; 36.00]','(92.00; 99.00]','(12.00; 22.00]','(92.00; 99.00]','(66.00; 80.00]',>99.00,'(66.00; 87.00]','(64.00; 77.00]','(67.00; 79.00]','(42.00; 51.00]',>99.00,'(10.00; 20.00]','(50.00; 57.00]',<=0.00,<=0.00,'(6.00; 10.00]',3
'(15.00; 36.00]','(74.00; 80.00]','(34.00; 52.00]',>99.00,'(66.00; 80.00]','(74.00; 88.00]','(37.00; 49.00]','(53.00; 64.00]','(79.00; 98.00]','(38.00; 42.00]',>99.00,'(10.00; 20.00]','(50.00; 57.00]',<=0.00,<=0.00,'(10.00; 17.00]',3
'(68.00; 96.00]','(80.00; 88.00]','(22.00; 34.00]',>99.00,'(20.00; 34.00]','(63.00; 69.00]','(66.00; 87.00]','(77.00; 97.00]','(79.00; 98.00]','(73.00; 76.00]',>99.00,'(27.00; 32.00]','(57.00; 68.00]','(0.00; 5.00]',<=0.00,<=0.00,9
'(68.00; 96.00]',>99.00,'(34.00; 52.00]','(62.00; 69.00]',<=1.00,'(37.00; 44.00]','(49.00; 66.00]','(39.00; 44.00]',>98.00,'(51.00; 57.00]','(72.00; 89.00]','(78.00; 98.00]','(57.00; 68.00]','(35.00; 43.00]','(46.00; 82.00]',<=0.00,4
<=0.00,>99.00,'(34.00; 52.00]',>99.00,'(80.00; 96.00]','(74.00; 88.00]','(66.00; 87.00]','(44.00; 48.00]','(49.00; 67.00]','(7.00; 16.00]','(34.00; 45.00]',<=0.00,'(35.00; 48.00]','(15.00; 21.00]',>99.00,'(17.00; 23.00]',7
<=0.00,'(74.00; 80.00]','(34.00; 52.00]',>99.00,'(80.00; 96.00]','(69.00; 74.00]','(49.00; 66.00]','(31.00; 39.00]','(19.00; 34.00]',<=0.00,'(0.00; 20.00]','(3.00; 10.00]','(17.00; 35.00]','(35.00; 43.00]',>99.00,'(31.00; 50.00]',7
'(36.00; 54.00]','(92.00; 99.00]',<=12.00,'(76.00; 87.00]','(66.00; 80.00]','(74.00; 88.00]','(37.00; 49.00]',>97.00,'(49.00; 67.00]',>76.00,>99.00,'(39.00; 48.00]','(57.00; 68.00]','(5.00; 13.00]',<=0.00,<=0.00,9
<=0.00,>99.00,'(34.00; 52.00]','(87.00; 92.00]',>96.00,'(74.00; 88.00]','(66.00; 87.00]','(31.00; 39.00]','(19.00; 34.00]','(0.00; 7.00]','(0.00; 20.00]',<=0.00,'(17.00; 35.00]','(26.00; 35.00]','(82.00; 99.00]','(31.00; 50.00]',7
'(0.00; 15.00]','(88.00; 92.00]','(34.00; 52.00]',>99.00,'(80.00; 96.00]','(74.00; 88.00]','(37.00; 49.00]','(53.00; 64.00]','(49.00; 67.00]','(32.00; 38.00]',>99.00,'(10.00; 20.00]','(50.00; 57.00]','(0.00; 5.00]',<=0.00,<=0.00,3
<=0.00,'(92.00; 99.00]','(34.00; 52.00]','(92.00; 99.00]',>96.00,>99.00,'(66.00; 87.00]','(53.00; 64.00]','(49.00; 67.00]','(16.00; 26.00]','(34.00; 45.00]',<=0.00,'(17.00; 35.00]','(26.00; 35.00]','(46.00; 82.00]','(23.00; 31.00]',7
'(68.00; 96.00]',>99.00,'(34.00; 52.00]','(76.00; 87.00]','(1.00; 20.00]','(37.00; 44.00]','(20.00; 24.00]','(1.00; 13.00]','(67.00; 79.00]',<=0.00,>99.00,'(27.00; 32.00]','(35.00; 48.00]','(43.00; 50.00]',<=0.00,'(23.00; 31.00]',6
'(15.00; 36.00]','(74.00; 80.00]','(34.00; 52.00]',>99.00,'(66.00; 80.00]','(74.00; 88.00]','(66.00; 87.00]','(48.00; 53.00]','(34.00; 49.00]','(16.00; 26.00]',<=0.00,'(0.00; 3.00]','(35.00; 48.00]','(0.00; 5.00]',>99.00,<=0.00,2
'(36.00; 54.00]',>99.00,<=12.00,'(69.00; 76.00]',<=1.00,'(37.00; 44.00]','(37.00; 49.00]','(24.00; 31.00]','(79.00; 98.00]','(26.00; 32.00]',>99.00,'(48.00; 52.00]','(78.00; 99.00]','(26.00; 35.00]','(82.00; 99.00]',<=0.00,4
'(15.00; 36.00]','(88.00; 92.00]','(67.00; 89.00]',>99.00,'(80.00; 96.00]','(74.00; 88.00]','(49.00; 66.00]','(53.00; 64.00]','(67.00; 79.00]','(32.00; 38.00]',>99.00,'(10.00; 20.00]','(50.00; 57.00]',<=0.00,<=0.00,<=0.00,3
'(0.00; 15.00]','(62.00; 74.00]',<=12.00,'(18.00; 28.00]','(34.00; 40.00]',<=1.00,'(66.00; 87.00]','(1.00; 13.00]',>98.00,'(57.00; 63.00]','(72.00; 89.00]',>98.00,'(17.00; 35.00]','(82.00; 99.00]','(0.00; 22.00]','(50.00; 59.00]',0
<=0.00,'(43.00; 62.00]','(22.00; 34.00]','(49.00; 62.00]','(51.00; 66.00]','(74.00; 88.00]',>99.00,>97.00,'(67.00; 79.00]','(73.00; 76.00]','(45.00; 56.00]','(48.00; 52.00]','(17.00; 35.00]','(21.00; 26.00]','(0.00; 22.00]',<=0.00,1
'(36.00; 54.00]','(88.00; 92.00]',<=12.00,'(62.00; 69.00]',<=1.00,'(21.00; 30.00]','(37.00; 49.00]',<=1.00,'(79.00; 98.00]','(26.00; 32.00]',>99.00,'(68.00; 78.00]','(57.00; 68.00]',>99.00,'(0.00; 22.00]','(69.00; 80.00]',0
<=0.00,<=3.00,'(34.00; 52.00]',<=18.00,'(66.00; 80.00]','(37.00; 44.00]',>99.00,'(64.00; 77.00]','(79.00; 98.00]',>76.00,'(34.00; 45.00]','(78.00; 98.00]','(17.00; 35.00]','(59.00; 70.00]','(82.00; 99.00]','(50.00; 59.00]',9
'(68.00; 96.00]',>99.00,'(22.00; 34.00]','(76.00; 87.00]','(1.00; 20.00]','(47.00; 56.00]',<=4.00,'(24.00; 31.00]','(19.00; 34.00]',<=0.00,'(89.00; 99.00]','(3.00; 10.00]',>99.00,'(21.00; 26.00]','(22.00; 46.00]','(23.00; 31.00]',6
'(15.00; 36.00]',>99.00,<=12.00,'(69.00; 76.00]','(20.00; 34.00]','(44.00; 47.00]','(87.00; 99.00]','(48.00; 53.00]',>98.00,>76.00,'(72.00; 89.00]','(57.00; 68.00]','(50.00; 57.00]','(26.00; 35.00]','(22.00; 46.00]',<=0.00,4
<=0.00,'(62.00; 74.00]','(34.00; 52.00]','(62.00; 69.00]','(66.00; 80.00]','(74.00; 88.00]',>99.00,>97.00,'(79.00; 98.00]','(73.00; 76.00]','(72.00; 89.00]','(48.00; 52.00]','(57.00; 68.00]','(21.00; 26.00]','(46.00; 82.00]',<=0.00,1
<=0.00,'(74.00; 80.00]','(22.00; 34.00]',>99.00,'(51.00; 66.00]','(88.00; 99.00]','(37.00; 49.00]','(53.00; 64.00]','(7.00; 19.00]','(26.00; 32.00]','(0.00; 20.00]','(0.00; 3.00]','(50.00; 57.00]',<=0.00,>99.00,'(0.00; 6.00]',2
'(0.00; 15.00]','(92.00; 99.00]',<=12.00,>99.00,'(51.00; 66.00]',>99.00,>99.00,>97.00,'(49.00; 67.00]',>76.00,'(20.00; 34.00]','(48.00; 52.00]','(17.00; 35.00]','(21.00; 26.00]','(0.00; 22.00]',<=0.00,7
'(15.00; 36.00]',>99.00,'(12.00; 22.00]','(49.00; 62.00]',>96.00,'(88.00; 99.00]','(4.00; 20.00]','(77.00; 97.00]','(7.00; 19.00]','(42.00; 51.00]','(20.00; 34.00]',<=0.00,'(78.00; 99.00]','(43.00; 50.00]',<=0.00,'(31.00; 50.00]',8
'(54.00; 68.00]',>99.00,'(12.00; 22.00]','(76.00; 87.00]',<=1.00,'(37.00; 44.00]','(4.00; 20.00]',<=1.00,'(67.00; 79.00]','(7.00; 16.00]',>99.00,'(39.00; 48.00]',>99.00,'(82.00; 99.00]','(46.00; 82.00]','(80.00; 93.00]',0
<=0.00,'(3.00; 43.00]','(34.00; 52.00]','(49.00; 62.00]','(66.00; 80.00]','(74.00; 88.00]',>99.00,>97.00,'(79.00; 98.00]','(73.00; 76.00]','(56.00; 72.00]','(48.00; 52.00]','(50.00; 57.00]','(21.00; 26.00]','(22.00; 46.00]',<=0.00,1
'(54.00; 68.00]','(80.00; 88.00]','(67.00; 89.00]',>99.00,'(34.00; 40.00]','(63.00; 69.00]',<=4.00,'(31.00; 39.00]','(67.00; 79.00]','(32.00; 38.00]',>99.00,'(57.00; 68.00]','(57.00; 68.00]','(26.00; 35.00]','(22.00; 46.00]',<=0.00,4
<=0.00,'(88.00; 92.00]','(34.00; 52.00]',>99.00,'(51.00; 66.00]','(63.00; 69.00]','(37.00; 49.00]','(13.00; 24.00]','(19.00; 34.00]',<=0.00,'(20.00; 34.00]','(32.00; 39.00]','(57.00; 68.00]','(35.00; 43.00]',>99.00,'(31.00; 50.00]',7
<=0.00,'(62.00; 74.00]','(34.00; 52.00]','(69.00; 76.00]','(66.00; 80.00]','(88.00; 99.00]',>99.00,>97.00,'(79.00; 98.00]','(73.00; 76.00]','(72.00; 89.00]','(48.00; 52.00]','(78.00; 99.00]','(21.00; 26.00]','(82.00; 99.00]',<=0.00,1
<=0.00,'(92.00; 99.00]','(52.00; 67.00]',>99.00,'(80.00; 96.00]','(74.00; 88.00]','(66.00; 87.00]','(31.00; 39.00]','(49.00; 67.00]',<=0.00,'(0.00; 20.00]','(20.00; 27.00]','(17.00; 35.00]','(35.00; 43.00]',>99.00,'(31.00; 50.00]',7
'(15.00; 36.00]',>99.00,<=12.00,'(76.00; 87.00]','(1.00; 20.00]','(47.00; 56.00]','(49.00; 66.00]','(39.00; 44.00]',>98.00,'(42.00; 51.00]','(56.00; 72.00]','(57.00; 68.00]','(50.00; 57.00]','(26.00; 35.00]','(22.00; 46.00]',<=0.00,4
'(68.00; 96.00]','(62.00; 74.00]','(22.00; 34.00]','(76.00; 87.00]',>96.00,>99.00,'(87.00; 99.00]','(77.00; 97.00]','(49.00; 67.00]','(63.00; 70.00]','(20.00; 34.00]','(39.00; 48.00]',<=17.00,'(21.00; 26.00]',<=0.00,<=0.00,1
'(36.00; 54.00]','(43.00; 62.00]',>89.00,'(69.00; 76.00]','(80.00; 96.00]',>99.00,'(49.00; 66.00]','(64.00; 77.00]','(49.00; 67.00]','(32.00; 38.00]','(45.00; 56.00]','(0.00; 3.00]',<=17.00,<=0.00,'(22.00; 46.00]','(23.00; 31.00]',8
